,RaceId,DriverId,ConstructorId,GridNumber,QualifyingPosition,CircuitId,TotalDriverPoints
735,338,5,205,19,19,1,0
736,338,9,4,9,9,1,18
737,338,10,166,23,21,1,0
738,338,13,6,5,5,1,33
739,338,15,205,20,20,1,0
740,338,16,10,10,10,1,0
741,338,17,9,2,2,1,6
742,338,18,1,4,4,1,31
743,338,20,9,1,1,1,12
744,338,22,3,8,8,1,5
745,338,24,10,13,13,1,8
746,338,30,131,7,7,1,9
747,338,37,15,14,14,1,0
748,338,67,5,12,12,1,0
749,338,153,5,17,17,1,0
750,338,155,15,16,16,1,0
751,338,807,3,15,15,1,0
752,338,808,4,18,18,1,0
753,338,810,166,24,22,1,0
754,338,811,164,21,23,1,0
755,338,812,164,22,24,1,0
756,339,1,1,20,20,2,31
757,339,3,131,2,2,2,35
758,339,4,6,19,19,2,37
759,339,5,205,15,15,2,0
760,339,9,4,6,6,2,30
761,339,10,166,16,16,2,0
762,339,13,6,21,21,2,39
763,339,15,205,18,18,2,0
764,339,16,10,4,4,2,10
765,339,17,9,1,1,2,24
766,339,18,1,17,17,2,35
767,339,20,9,3,3,2,37
768,339,22,3,7,7,2,5
769,339,24,10,10,10,2,8
770,339,30,131,8,8,2,9
771,339,37,15,12,12,2,0
772,339,67,5,13,13,2,0
773,339,153,5,14,14,2,2
774,339,155,15,9,9,2,0
775,339,807,3,5,5,2,1
776,339,808,4,11,11,2,0
777,339,810,166,24,24,2,0
778,339,811,164,23,23,2,0
779,339,812,164,22,22,2,0
780,340,1,1,6,6,17,49
781,340,3,131,4,4,17,50
782,340,4,6,3,3,17,49
783,340,5,205,21,21,17,0
784,340,9,4,8,8,17,40
785,340,10,166,19,19,17,0
786,340,13,6,7,7,17,41
787,340,15,205,20,20,17,0
788,340,16,10,10,10,17,10
789,340,17,9,2,2,17,28
790,340,18,1,5,5,17,60
791,340,20,9,1,1,17,45
792,340,22,3,11,11,17,5
793,340,24,10,18,18,17,8
794,340,30,131,9,9,17,10
795,340,37,15,17,17,17,0
796,340,67,5,13,13,17,0
797,340,153,5,12,12,17,2
798,340,155,15,15,15,17,0
799,340,807,3,16,16,17,1
800,340,808,4,14,14,17,6
801,340,810,166,22,22,17,0
802,340,811,164,23,23,17,0
803,340,812,164,24,24,17,0
804,341,1,1,3,3,4,49
805,341,3,131,8,8,4,50
806,341,4,6,4,4,4,67
807,341,5,205,20,20,4,0
